,ID,Netflix,HBO,Hulu,Title,Type (Movie or TV Show),IMDb Score,# of IMDb Votes,Release Year,Rating,Runtime (min),Genre(s),Production Country,# of Seasons,Actor/Director Name,Role
164,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Graham Chapman,ACTOR
165,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Michael Palin,ACTOR
166,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Terry Jones,ACTOR
167,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Eric Idle,ACTOR
168,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Terry Gilliam,ACTOR
568,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Jerry Seinfeld,ACTOR
569,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Jason Alexander,ACTOR
570,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Michael Richards,ACTOR
571,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Julia Louis-Dreyfus,ACTOR
1028,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,David Hasselhoff,ACTOR
1029,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Edward Mulhare,ACTOR
1030,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,William Daniels,ACTOR
1031,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Patricia McPherson,ACTOR
1032,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Peter Parros,ACTOR
1034,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Mark-Paul Gosselaar,ACTOR
1035,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Mario López,ACTOR
1036,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Dustin Diamond,ACTOR
1037,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Lark Voorhies,ACTOR
1038,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Dennis Haskins,ACTOR
1665,ts20981,1.0,0.0,0.0,Survivor,SHOW,7.4,24687.0,2000,TV-PG,48,['reality'],['US'],42.0,Jeff Probst,ACTOR
1721,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Ben Browder,ACTOR
1722,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Amanda Tapping,ACTOR
1723,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Christopher Judge,ACTOR
1724,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Michael Shanks,ACTOR
1725,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Claudia Black,ACTOR
1726,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Beau Bridges,ACTOR
2077,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Mayumi Tanaka,ACTOR
2078,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kazuya Nakai,ACTOR
2079,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Akemi Okamura,ACTOR
2080,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kappei Yamaguchi,ACTOR
2081,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Hiroaki Hirata,ACTOR
2082,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Yuriko Yamaguchi,ACTOR
2083,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Ikue Otani,ACTOR
2084,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kazuki Yao,ACTOR
2085,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Cho,ACTOR
2086,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Katsuhisa Hôki,ACTOR
2087,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Tesshou Genda,ACTOR
2207,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Koichi Yamadera,ACTOR
2208,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Unsho Ishizuka,ACTOR
2209,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Megumi Hayashibara,ACTOR
2210,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Aoi Tada,ACTOR
2393,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Megumi Ogata,ACTOR
2394,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Kotono Mitsuishi,ACTOR
2395,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Megumi Hayashibara,ACTOR
2396,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Yuko Miyamura,ACTOR
2397,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Yuriko Yamaguchi,ACTOR
2398,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Fumihiko Tachiki,ACTOR
2399,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Motomu Kiyokawa,ACTOR
2400,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Miki Nagasawa,ACTOR
2488,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Lauren Graham,ACTOR
2489,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Alexis Bledel,ACTOR
2490,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Scott Patterson,ACTOR
2491,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Melissa McCarthy,ACTOR
2492,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Keiko Agena,ACTOR
2493,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Yanic Truesdale,ACTOR
2494,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Edward Herrmann,ACTOR
2495,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,8.2,121462.0,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,Kelly Bishop,ACTOR
2700,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Megumi Ogata,ACTOR
2701,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Toshiyuki Morikawa,ACTOR
2702,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Hikaru Midorikawa,ACTOR
2703,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Yumi Kakazu,ACTOR
2704,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Ryotaro Okiayu,ACTOR
2705,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Tsutomu Kashiwakura,ACTOR
2706,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Kaneto Shiozawa,ACTOR
2707,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Katsue Miwa,ACTOR
2708,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Yukana,ACTOR
2709,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Takeshi Aono,ACTOR
2710,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Michiko Neya,ACTOR
2711,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,7.3,21113.0,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,Ryou Naitou,ACTOR
2789,ts22489,1.0,0.0,0.0,Goosebumps,SHOW,7.6,13493.0,1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4.0,R.L. Stine,ACTOR
2790,ts21034,1.0,0.0,0.0,InuYasha,SHOW,7.9,15823.0,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,Kappei Yamaguchi,ACTOR
2791,ts21034,1.0,0.0,0.0,InuYasha,SHOW,7.9,15823.0,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,Satsuki Yukino,ACTOR
2792,ts21034,1.0,0.0,0.0,InuYasha,SHOW,7.9,15823.0,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,Yasunao Aoki,DIRECTOR
2793,ts21034,1.0,0.0,0.0,InuYasha,SHOW,7.9,15823.0,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,Masashi Ikeda,DIRECTOR
3213,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Kenan Thompson,ACTOR
3214,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Kel Mitchell,ACTOR
3215,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Vanessa Baden,ACTOR
3216,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Ken Foree,ACTOR
3217,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Teal Marchande,ACTOR
3218,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,7.8,15620.0,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,Dan Frischman,ACTOR
4458,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Bryan Cranston,ACTOR
4459,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Aaron Paul,ACTOR
4460,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Anna Gunn,ACTOR
4461,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Dean Norris,ACTOR
4462,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Jonathan Banks,ACTOR
4463,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Bob Odenkirk,ACTOR
4464,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,Betsy Brandt,ACTOR
4465,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,9.5,1775990.0,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,RJ Mitte,ACTOR
4466,ts20371,1.0,0.0,0.0,Top Gear,SHOW,8.7,117240.0,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,Chris Harris,ACTOR
4467,ts20371,1.0,0.0,0.0,Top Gear,SHOW,8.7,117240.0,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,Paddy McGuinness,ACTOR
4468,ts20371,1.0,0.0,0.0,Top Gear,SHOW,8.7,117240.0,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,Andrew Flintoff,ACTOR
4469,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Norman Reedus,ACTOR
4470,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Melissa McBride,ACTOR
4471,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Lauren Cohan,ACTOR
4472,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Christian Serratos,ACTOR
4473,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Josh McDermitt,ACTOR
4474,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Seth Gilliam,ACTOR
4475,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Ross Marquand,ACTOR
4476,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Khary Payton,ACTOR
4477,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Cooper Andrews,ACTOR
4478,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Callan McAuliffe,ACTOR
4479,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,8.2,956604.0,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,Jeffrey Dean Morgan,ACTOR
4480,ts21465,1.0,0.0,0.0,Supernatural,SHOW,8.4,434081.0,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,Alexander Calvert,ACTOR
4481,ts21465,1.0,0.0,0.0,Supernatural,SHOW,8.4,434081.0,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,Misha Collins,ACTOR
4482,ts21465,1.0,0.0,0.0,Supernatural,SHOW,8.4,434081.0,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,Jared Padalecki,ACTOR
4483,ts21465,1.0,0.0,0.0,Supernatural,SHOW,8.4,434081.0,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,Jensen Ackles,ACTOR
4602,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Tina Fey,ACTOR
4603,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Alec Baldwin,ACTOR
4604,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Tracy Morgan,ACTOR
4605,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Jack McBrayer,ACTOR
4606,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Scott Adsit,ACTOR
4607,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Judah Friedlander,ACTOR
4608,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Jane Krakowski,ACTOR
4609,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Keith Powell,ACTOR
4610,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Kevin Brown,ACTOR
4611,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Grizz Chapman,ACTOR
4612,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Katrina Bowden,ACTOR
4613,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,John Lutz,ACTOR
4614,ts12724,1.0,0.0,0.0,30 Rock,SHOW,8.3,122698.0,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,Maulik Pancholy,ACTOR
4615,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Sidse Babett Knudsen,ACTOR
4616,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Pilou Asbæk,ACTOR
4617,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Birgitte Hjort Sørensen,ACTOR
4618,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Mikael Birkkjær,ACTOR
4619,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Lars Knutzon,ACTOR
4620,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Søren Malling,ACTOR
4621,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Benedikte Hansen,ACTOR
4622,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Lars Mikkelsen,ACTOR
4623,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Emil Poulsen,ACTOR
4624,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Freja Riemann,ACTOR
4625,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Thomas Levin,ACTOR
4626,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Lisbeth Wulff,ACTOR
4627,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Søren Spanning,ACTOR
4628,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Ole Thestrup,ACTOR
4629,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Julie Agnete Vang,ACTOR
4630,ts6644,1.0,0.0,0.0,Borgen,SHOW,8.5,25485.0,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,Peter Mygind,ACTOR
4631,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Joel McHale,ACTOR
4632,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Gillian Jacobs,ACTOR
4633,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Danny Pudi,ACTOR
4634,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Alison Brie,ACTOR
4635,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Jim Rash,ACTOR
4636,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Ken Jeong,ACTOR
4637,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Paget Brewster,ACTOR
4638,ts8308,1.0,0.0,0.0,Community,SHOW,8.5,257221.0,2009,TV-PG,23,['comedy'],['US'],6.0,Keith David,ACTOR
4768,ts21469,1.0,0.0,0.0,Grey's Anatomy,SHOW,7.6,299165.0,2005,TV-14,49,"['drama', 'romance']",['US'],19.0,Ellen Pompeo,ACTOR
